Time (BJD_TBD - 2450000), F_e/F_star (ppm)
9.891667036489701786e+03,5.057727443340213114e+01
9.891667059382038133e+03,5.057542401657765652e+01
9.891667082274374479e+03,5.057357361954147734e+01
9.891667105166709007e+03,5.057172324244171335e+01
9.891667128059045353e+03,5.056987288498530120e+01
9.891667150951379881e+03,5.056802254746735770e+01
9.891667173843716228e+03,5.056617222959481950e+01
9.891667196736050755e+03,5.056432193166280342e+01
9.891667219628387102e+03,5.056247165337825322e+01
9.891667242520721629e+03,5.056062139503629282e+01
9.891667265413057976e+03,5.055877115634380914e+01
9.891667288305394322e+03,5.055692093744901427e+01
9.891667311197728850e+03,5.055507073849979349e+01
9.891667334090065197e+03,5.055322055920326818e+01
9.891667356982399724e+03,5.055137039985439174e+01
9.891667379874736071e+03,5.054952026016027133e+01
9.891667402767070598e+03,5.054767014041584616e+01
9.891667425659406945e+03,5.054582004032823050e+01
9.891667448551741472e+03,5.054396996019237065e+01
9.891667471444077819e+03,5.054211989971537378e+01
9.891667494336414165e+03,5.054026985904520330e+01
9.891667517228748693e+03,5.053841983832994345e+01
9.891667540121085040e+03,5.053656983727658059e+01
9.891667563013419567e+03,5.053471985618017470e+01
9.891667585905755914e+03,5.053286989474772639e+01
9.891667608798090441e+03,5.053101995327428853e+01
9.891667631690426788e+03,5.052917003146686881e+01
9.891667654582761315e+03,5.052732012962051300e+01
9.891667677475097662e+03,5.052547024744220749e+01
9.891667700367432190e+03,5.052362038522709042e+01
9.891667723259768536e+03,5.052177054268203449e+01
9.891667746152104883e+03,5.051992071995522338e+01
9.891667769044439410e+03,5.051807091719454945e+01
9.891667791936775757e+03,5.051622113410716963e+01
9.891667814829110284e+03,5.051437137098798047e+01
9.891667837721446631e+03,5.051252162754415309e+01
9.891667860613781158e+03,5.051067190407056273e+01
9.891667883506117505e+03,5.050882220027438763e+01
9.891667906398452033e+03,5.050697251645051722e+01
9.891667929290788379e+03,5.050512285230612264e+01
9.891667952183124726e+03,5.050327320798908914e+01
9.891667975075459253e+03,5.050142358364757200e+01
9.891667997967795600e+03,5.049957397898851497e+01
9.891668020860130127e+03,5.049772439430697091e+01
9.891668043752466474e+03,5.049587482930996885e+01
9.891668066644801002e+03,5.049402528429254033e+01
9.891668089537137348e+03,5.049217575896168597e+01
9.891668112429471876e+03,5.049032625361250837e+01
9.891668135321808222e+03,5.048847676795194417e+01
9.891668158214142750e+03,5.048662730227508177e+01
9.891668181106479096e+03,5.048477785628895020e+01
9.891668203998815443e+03,5.048292843014160525e+01
9.891668226891149970e+03,5.048107902398093216e+01
9.891668249783486317e+03,5.047922963751415182e+01
9.891668272675820845e+03,5.047738027103611813e+01
9.891668295568157191e+03,5.047553092425401644e+01
9.891668318460491719e+03,5.047368159746272198e+01
9.891668341352828065e+03,5.047183229036943430e+01
9.891668364245162593e+03,5.046998300326897890e+01
9.891668387137498939e+03,5.046813373586859797e+01
9.891668410029835286e+03,5.046628448831619096e+01
9.891668432922169814e+03,5.046443526075973551e+01
9.891668455814506160e+03,5.046258605290644539e+01
9.891668478706840688e+03,5.046073686505116740e+01
9.891668501599177034e+03,5.045888769690100162e+01
9.891668524491511562e+03,5.045703854875100092e+01
9.891668547383847908e+03,5.045518942030814458e+01
9.891668570276182436e+03,5.045334031186748547e+01
9.891668593168518782e+03,5.045149122313608103e+01
9.891668616060855129e+03,5.044964215426197995e+01
9.891668638953189657e+03,5.044779310539303196e+01
9.891668661845526003e+03,5.044594407623652188e+01
9.891668684737860531e+03,5.044409506708722546e+01
9.891668707630196877e+03,5.044224607765242041e+01
9.891668730522531405e+03,5.044039710822688249e+01
9.891668753414867751e+03,5.043854815851788942e+01
9.891668776307202279e+03,5.043669922882022405e+01
9.891668799199538626e+03,5.043485031884117120e+01
9.891668822091873153e+03,5.043300142887548532e+01
9.891668844984209500e+03,5.043115255863042989e+01
9.891668867876545846e+03,5.042930370825395414e+01
9.891668890768880374e+03,5.042745487789402858e+01
9.891668913661216720e+03,5.042560606725772487e+01
9.891668936553551248e+03,5.042375727664003904e+01
9.891668959445887594e+03,5.042190850574809247e+01
9.891668982338222122e+03,5.042005975487678171e+01
9.891669005230558469e+03,5.041821102373327079e+01
9.891669028122892996e+03,5.041636231261243495e+01
