Time (BJD_TBD - 2450000), F_h/F_star (ppm)
1.014860056803123007e+04,2.878802328162456092e+01
1.014860058890600158e+04,2.878804147166972172e+01
1.014860060978077490e+04,2.878805966101917235e+01
1.014860063065554823e+04,2.878807784967132477e+01
1.014860065153031974e+04,2.878809603762459091e+01
1.014860067240509306e+04,2.878811422488213978e+01
1.014860069327986639e+04,2.878813241144238688e+01
1.014860071415463790e+04,2.878815059730374770e+01
1.014860073502941123e+04,2.878816878246939126e+01
1.014860075590418273e+04,2.878818696693614498e+01
1.014860077677895606e+04,2.878820515070717434e+01
1.014860079765372939e+04,2.878822333378090192e+01
1.014860081852850089e+04,2.878824151615573967e+01
1.014860083940327422e+04,2.878825969783484950e+01
1.014860086027804755e+04,2.878827787881665046e+01
1.014860088115281906e+04,2.878829605909956513e+01
