Time (BJD_TBD - 2450000), F_star + F_c (mJy)
9.908230916408796475e+03,2.739325037479609204e+00
9.908230939631026558e+03,2.739325059592667255e+00
9.908230962853256642e+03,2.739325081708256171e+00
9.908230986075484907e+03,2.739325103826375063e+00
9.908231009297714991e+03,2.739325125947027040e+00
9.908231032519945074e+03,2.739325148070210325e+00
9.908231055742175158e+03,2.739325170195924475e+00
9.908231078964403423e+03,2.739325192324167713e+00
9.908231102186633507e+03,2.739325214454943591e+00
9.908231125408863591e+03,2.739325236588250778e+00
9.908231148631093674e+03,2.739325258724088830e+00
9.908231171853321939e+03,2.739325280862455525e+00
9.908231195075552023e+03,2.739325303003354417e+00
9.908231218297782107e+03,2.739325325146784174e+00
9.908231241520012190e+03,2.739325347292744350e+00
9.908231264742240455e+03,2.739325369441233615e+00
9.908231287964470539e+03,2.739325391592254633e+00
9.908231311186700623e+03,2.739325413745805182e+00
9.908231334408930707e+03,2.739325435901886596e+00
9.908231357631158971e+03,2.739325458060495766e+00
9.908231380853389055e+03,2.739325480221637132e+00
9.908231404075619139e+03,2.739325502385308919e+00
9.908231427297849223e+03,2.739325524551509350e+00
9.908231450520077487e+03,2.739325546720238425e+00
9.908231473742307571e+03,2.739325568891498808e+00
9.908231496964537655e+03,2.739325591065289167e+00
9.908231520186767739e+03,2.739325613241608171e+00
9.908231543408996004e+03,2.739325635420455818e+00
9.908231566631226087e+03,2.739325657601833885e+00
9.908231589853456171e+03,2.739325679785741485e+00
9.908231613075686255e+03,2.739325701972178173e+00
9.908231636297914520e+03,2.739325724161142173e+00
9.908231659520144603e+03,2.739325746352637481e+00
9.908231682742374687e+03,2.739325768546660989e+00
9.908231705964604771e+03,2.739325790743213584e+00
9.908231729186833036e+03,2.739325812942293492e+00
9.908231752409063120e+03,2.739325835143903376e+00
9.908231775631293203e+03,2.739325857348041904e+00
9.908231798853523287e+03,2.739325879554709520e+00
9.908231822075751552e+03,2.739325901763903115e+00
9.908231845297981636e+03,2.739325923975627575e+00
9.908231868520211719e+03,2.739325946189879790e+00
9.908231891742441803e+03,2.739325968406660206e+00
9.908231914964670068e+03,2.739325990625967489e+00
9.908231938186900152e+03,2.739326012847804304e+00
9.908231961409130236e+03,2.739326035072168875e+00
9.908231984631360319e+03,2.739326057299061645e+00
9.908232007853588584e+03,2.739326079528480395e+00
9.908232031075818668e+03,2.739326101760428678e+00
9.908232054298048752e+03,2.739326123994904716e+00
9.908232077520278835e+03,2.739326146231907622e+00
9.908232100742507100e+03,2.739326168471436951e+00
9.908232123964737184e+03,2.739326190713494924e+00
9.908232147186967268e+03,2.739326212958081097e+00
9.908232170409197352e+03,2.739326235205193250e+00
9.908232193631425616e+03,2.739326257454831826e+00
9.908232216853655700e+03,2.739326279706999046e+00
9.908232240075885784e+03,2.739326301961693133e+00
9.908232263298115868e+03,2.739326324218914532e+00
9.908232286520344132e+03,2.739326346478660579e+00
9.908232309742574216e+03,2.739326368740935269e+00
9.908232332964804300e+03,2.739326391005736383e+00
9.908232356187034384e+03,2.739326413273063920e+00
9.908232379409262649e+03,2.739326435542916993e+00
9.908232402631492732e+03,2.739326457815298266e+00
9.908232425853722816e+03,2.739326480090205074e+00
9.908232449075952900e+03,2.739326502367638749e+00
9.908232472298181165e+03,2.739326524647597072e+00
9.908232495520411248e+03,2.739326546930082262e+00
9.908232518742641332e+03,2.739326569215094320e+00
9.908232541964871416e+03,2.739326591502631913e+00
9.908232565187099681e+03,2.739326613792694154e+00
9.908232588409329765e+03,2.739326636085283706e+00
9.908232611631559848e+03,2.739326658380398793e+00
9.908232634853789932e+03,2.739326680678039416e+00
9.908232658076018197e+03,2.739326702978204242e+00
9.908232681298248281e+03,2.739326725280895936e+00
9.908232704520478364e+03,2.739326747586113164e+00
9.908232727742708448e+03,2.739326769893855928e+00
9.908232750964936713e+03,2.739326792204122007e+00
9.908232774187166797e+03,2.739326814516914510e+00
9.908232797409396881e+03,2.739326836832232992e+00
9.908232820631626964e+03,2.739326859150075677e+00
9.908232843853855229e+03,2.739326881470441677e+00
9.908232867076085313e+03,2.739326903793334100e+00
9.908232890298315397e+03,2.739326926118751615e+00
9.908232913520545480e+03,2.739326948446693777e+00
9.908232936742773745e+03,2.739326970777158365e+00
9.908232959965003829e+03,2.739326993110149822e+00
9.908232983187233913e+03,2.739327015445665481e+00
9.908233006409463997e+03,2.739327037783704899e+00
9.908233029631692261e+03,2.739327060124267632e+00
9.908233052853922345e+03,2.739327082467355456e+00
9.908233076076152429e+03,2.739327104812967928e+00
9.908233099298382513e+03,2.739327127161104158e+00
9.908233122520610777e+03,2.739327149511762816e+00
9.908233145742840861e+03,2.739327171864947008e+00
9.908233168965070945e+03,2.739327194220654960e+00
9.908233192187301029e+03,2.739327216578886670e+00
9.908233215409529294e+03,2.739327238939640363e+00
9.908233238631759377e+03,2.739327261302918703e+00
9.908233261853989461e+03,2.739327283668720803e+00
9.908233285076219545e+03,2.739327306037046217e+00
9.908233308298447810e+03,2.739327328407893170e+00
9.908233331520677893e+03,2.739327350781265658e+00
9.908233354742907977e+03,2.739327373157160572e+00
9.908233377965138061e+03,2.739327395535578802e+00
9.908233401187366326e+03,2.739327417916518126e+00
9.908233424409596410e+03,2.739327440299981653e+00
9.908233447631826493e+03,2.739327462685968939e+00
9.908233470854056577e+03,2.739327485074478652e+00
9.908233494076284842e+03,2.739327507465508571e+00
9.908233517298514926e+03,2.739327529859063137e+00
9.908233540520745009e+03,2.739327552255140574e+00
9.908233563742975093e+03,2.739327574653739994e+00
9.908233586965203358e+03,2.739327597054860064e+00
9.908233610187433442e+03,2.739327619458503893e+00
9.908233633409663526e+03,2.739327641864670149e+00
9.908233656631893609e+03,2.739327664273357943e+00
9.908233679854121874e+03,2.739327686684566832e+00
9.908233703076351958e+03,2.739327709098298591e+00
9.908233726298582042e+03,2.739327731514552777e+00
9.908233749520812125e+03,2.739327753933328502e+00
9.908233772743040390e+03,2.739327776354623989e+00
9.908233795965270474e+03,2.739327798778442791e+00
9.908233819187500558e+03,2.739327821204783131e+00
9.908233842409730642e+03,2.739327843633645010e+00
9.908233865631958906e+03,2.739327866065026207e+00
9.908233888854188990e+03,2.739327888498930719e+00
9.908233912076419074e+03,2.739327910935356325e+00
9.908233935298649158e+03,2.739327933374302582e+00
9.908233958520877422e+03,2.739327955815768600e+00
9.908233981743107506e+03,2.739327978259756602e+00
9.908234004965337590e+03,2.739328000706266142e+00
9.908234028187567674e+03,2.739328023155296332e+00
9.908234051409795939e+03,2.739328045606845397e+00
9.908234074632026022e+03,2.739328068060916443e+00
9.908234097854256106e+03,2.739328090517508585e+00
9.908234121076486190e+03,2.739328112976620933e+00
9.908234144298716274e+03,2.739328135438253486e+00
9.908234167520944538e+03,2.739328157902404470e+00
9.908234190743174622e+03,2.739328180369077881e+00
9.908234213965404706e+03,2.739328202838271054e+00
9.908234237187634790e+03,2.739328225309984433e+00
9.908234260409863055e+03,2.739328247784215797e+00
9.908234283632093138e+03,2.739328270260968701e+00
9.908234306854323222e+03,2.739328292740241366e+00
9.908234330076553306e+03,2.739328315222034238e+00
9.908234353298781571e+03,2.739328337706344207e+00
9.908234376521011654e+03,2.739328360193175715e+00
9.908234399743241738e+03,2.739328382682526986e+00
9.908234422965471822e+03,2.739328405174397130e+00
9.908234446187700087e+03,2.739328427668785260e+00
9.908234469409930171e+03,2.739328450165694484e+00
9.908234492632160254e+03,2.739328472665122582e+00
9.908234515854390338e+03,2.739328495167069999e+00
9.908234539076618603e+03,2.739328517671534069e+00
9.908234562298848687e+03,2.739328540178518789e+00
9.908234585521078770e+03,2.739328562688022384e+00
9.908234608743308854e+03,2.739328585200045296e+00
9.908234631965537119e+03,2.739328607714584418e+00
9.908234655187767203e+03,2.739328630231644190e+00
9.908234678409997287e+03,2.739328652751221949e+00
9.908234701632227370e+03,2.739328675273319025e+00
9.908234724854455635e+03,2.739328697797931866e+00
9.908234748076685719e+03,2.739328720325064914e+00
9.908234771298915803e+03,2.739328742854716392e+00
9.908234794521145886e+03,2.739328765386885411e+00
9.908234817743374151e+03,2.739328787921570640e+00
9.908234840965604235e+03,2.739328810458776076e+00
9.908234864187834319e+03,2.739328832998498608e+00
9.908234887410064403e+03,2.739328855540739571e+00
9.908234910632292667e+03,2.739328878085495855e+00
9.908234933854522751e+03,2.739328900632772346e+00
9.908234957076752835e+03,2.739328923182565489e+00
9.908234980298982919e+03,2.739328945734876175e+00
9.908235003521211183e+03,2.739328968289702626e+00
9.908235026743441267e+03,2.739328990847048395e+00
9.908235049965671351e+03,2.739329013406910818e+00
9.908235073187901435e+03,2.739329035969290338e+00
9.908235096410129700e+03,2.739329058534185179e+00
9.908235119632359783e+03,2.739329081101598895e+00
9.908235142854589867e+03,2.739329103671528820e+00
9.908235166076819951e+03,2.739329126243976287e+00
9.908235189299048216e+03,2.739329148818938187e+00
9.908235212521278299e+03,2.739329171396418960e+00
9.908235235743508383e+03,2.739329193976415500e+00
9.908235258965738467e+03,2.739329216558928692e+00
9.908235282187966732e+03,2.739329239143956762e+00
9.908235305410196816e+03,2.739329261731503262e+00
9.908235328632426899e+03,2.739329284321565083e+00
