Time (BJD_TBD - 2450000), F_f/F_star (ppm)
9.891722229910665192e+03,3.331580216662569427e+01
9.891722252803001538e+03,3.331673804474739597e+01
9.891722275695336066e+03,3.331767393187335102e+01
9.891722298587672412e+03,3.331860982815206995e+01
9.891722321480006940e+03,3.331954573343460169e+01
9.891722344372343287e+03,3.332048164786941413e+01
9.891722367264677814e+03,3.332141757130757753e+01
9.891722390157014161e+03,3.332235350389758821e+01
9.891722413049348688e+03,3.332328944549048799e+01
9.891722435941685035e+03,3.332422539623477320e+01
9.891722458834021381e+03,3.332516135605585106e+01
9.891722481726355909e+03,3.332609732487913590e+01
9.891722504618692255e+03,3.332703330285312404e+01
9.891722527511026783e+03,3.332796928982883600e+01
9.891722550403363130e+03,3.332890528595482493e+01
9.891722573295697657e+03,3.332984129108208293e+01
9.891722596188034004e+03,3.333077730535913474e+01
9.891722619080368531e+03,3.333171332863700798e+01
9.891722641972704878e+03,3.333264936106422738e+01
9.891722664865041224e+03,3.333358540256619307e+01
9.891722687757375752e+03,3.333452145306826964e+01
9.891722710649712099e+03,3.333545751271903868e+01
9.891722733542046626e+03,3.333639358136946385e+01
9.891722756434382973e+03,3.333732965916807700e+01
9.891722779326717500e+03,3.333826574596593417e+01
9.891722802219053847e+03,3.333920184191153169e+01
9.891722825111388374e+03,3.334013794685587584e+01
9.891722848003724721e+03,3.334107406094751980e+01
9.891722870896061067e+03,3.334201018411184947e+01
9.891722893788395595e+03,3.334294631627425787e+01
9.891722916680731942e+03,3.334388245758325553e+01
9.891722939573066469e+03,3.334481860788989138e+01
9.891722962465402816e+03,3.334575476734266175e+01
9.891722985357737343e+03,3.334669093579258714e+01
9.891723008250073690e+03,3.334762711338820651e+01
9.891723031142408217e+03,3.334856329998054036e+01
9.891723054034744564e+03,3.334949949571810635e+01
9.891723076927079092e+03,3.335043570045189654e+01
9.891723099819415438e+03,3.335137191433048542e+01
9.891723122711751785e+03,3.335230813727924470e+01
9.891723145604086312e+03,3.335324436922355318e+01
9.891723168496422659e+03,3.335418061031196402e+01
9.891723191388757186e+03,3.335511686039546930e+01
9.891723214281093533e+03,3.335605311962261510e+01
9.891723237173428060e+03,3.335698938784439349e+01
9.891723260065764407e+03,3.335792566520936475e+01
9.891723282958098935e+03,3.335886195156851386e+01
9.891723305850435281e+03,3.335979824707038688e+01
9.891723328742771628e+03,3.336073455164039103e+01
9.891723351635106155e+03,3.336167086520387670e+01
9.891723374527442502e+03,3.336260718790941127e+01
9.891723397419777029e+03,3.336354351960797970e+01
9.891723420312113376e+03,3.336447986044813518e+01
9.891723443204447904e+03,3.336541621028086269e+01
9.891723466096784250e+03,3.336635256925472959e+01
9.891723488989118778e+03,3.336728893722070666e+01
9.891723511881455124e+03,3.336822531432738970e+01
9.891723534773791471e+03,3.336916170050010777e+01
9.891723557666125998e+03,3.337009809566424678e+01
9.891723580558462345e+03,3.337103449996840254e+01
9.891723603450796872e+03,3.337197091326351028e+01
9.891723626343133219e+03,3.337290733569817291e+01
9.891723649235467747e+03,3.337384376712333278e+01
9.891723672127804093e+03,3.337478020768759990e+01
9.891723695020138621e+03,3.337571665724188108e+01
9.891723717912474967e+03,3.337665311593482897e+01
9.891723740804809495e+03,3.337758958361735750e+01
