Time (BJD_TBD - 2450000), F_g/F_star (ppm)
9.905260067609611724e+03,8.095077991834349973e+01
9.905260088939292473e+03,8.095134645763219794e+01
9.905260110268971403e+03,8.095191299409140129e+01
9.905260131598650332e+03,8.095247952776935563e+01
9.905260152928329262e+03,8.095304605866600411e+01
9.905260174258008192e+03,8.095361258678127570e+01
9.905260195587688941e+03,8.095417911216341622e+01
9.905260216917367870e+03,8.095474563471573504e+01
9.905260238247046800e+03,8.095531215448647799e+01
9.905260259576725730e+03,8.095587867147555983e+01
9.905260280906404660e+03,8.095644518568293790e+01
9.905260302236083589e+03,8.095701169710855538e+01
9.905260323565764338e+03,8.095757820580062969e+01
9.905260344895443268e+03,8.095814471166247017e+01
9.905260366225122198e+03,8.095871121474235110e+01
9.905260387554801127e+03,8.095927771504015880e+01
9.905260408884480057e+03,8.095984421255586483e+01
9.905260430214160806e+03,8.096041070733772926e+01
9.905260451543839736e+03,8.096097719928900460e+01
9.905260472873518665e+03,8.096154368845797933e+01
9.905260494203197595e+03,8.096211017484456818e+01
9.905260515532876525e+03,8.096267665844872852e+01
9.905260536862555455e+03,8.096324313927037508e+01
9.905260558192236203e+03,8.096380961735773951e+01
9.905260579521915133e+03,8.096437609261414536e+01
9.905260600851594063e+03,8.096494256508788112e+01
9.905260622181272993e+03,8.096550903477879046e+01
9.905260643510951923e+03,8.096607550168687339e+01
9.905260664840632671e+03,8.096664196586034734e+01
9.905260686170311601e+03,8.096720842720255007e+01
9.905260707499990531e+03,8.096777488576169901e+01
9.905260728829669461e+03,8.096834134153770890e+01
9.905260750159348390e+03,8.096890779453057974e+01
9.905260771489029139e+03,8.096947424478850053e+01
9.905260792818708069e+03,8.097004069221479483e+01
9.905260814148386999e+03,8.097060713685772271e+01
9.905260835478065928e+03,8.097117357871719889e+01
9.905260856807744858e+03,8.097174001779318075e+01
9.905260878137423788e+03,8.097230645408554039e+01
9.905260899467104537e+03,8.097287288764260893e+01
9.905260920796783466e+03,8.097343931836763886e+01
9.905260942126462396e+03,8.097400574630889025e+01
9.905260963456141326e+03,8.097457217146629205e+01
9.905260984785820256e+03,8.097513859383980162e+01
9.905261006115501004e+03,8.097570501347760796e+01
9.905261027445179934e+03,8.097627143028307728e+01
9.905261048774858864e+03,8.097683784430442699e+01
9.905261070104537794e+03,8.097740425554161448e+01
9.905261091434216723e+03,8.097797066399455446e+01
9.905261112763895653e+03,8.097853706966317588e+01
9.905261134093576402e+03,8.097910347259572461e+01
9.905261155423255332e+03,8.097966987269553840e+01
9.905261176752934261e+03,8.098023627001082048e+01
9.905261198082613191e+03,8.098080266454152820e+01
9.905261219412292121e+03,8.098136905628759052e+01
9.905261240741972870e+03,8.098193544529726751e+01
9.905261262071651799e+03,8.098250183147384007e+01
9.905261283401330729e+03,8.098306821486556828e+01
9.905261304731009659e+03,8.098363459547239529e+01
9.905261326060688589e+03,8.098420097329423584e+01
9.905261347390367519e+03,8.098476734833101887e+01
9.905261368720048267e+03,8.098533372063100444e+01
9.905261390049727197e+03,8.098590009009751611e+01
9.905261411379406127e+03,8.098646645677878553e+01
9.905261432709085057e+03,8.098703282067474163e+01
9.905261454038763986e+03,8.098759918178531336e+01
9.905261475368444735e+03,8.098816554015873237e+01
9.905261496698123665e+03,8.098873189569835063e+01
9.905261518027802595e+03,8.098929824845238556e+01
9.905261539357481524e+03,8.098986459842078034e+01
9.905261560687160454e+03,8.099043094560346390e+01
9.905261582016839384e+03,8.099099729000036518e+01
9.905261603346520133e+03,8.099156363165973005e+01
9.905261624676199062e+03,8.099212997048488205e+01
9.905261646005877992e+03,8.099269630652403862e+01
9.905261667335556922e+03,8.099326263977717133e+01
9.905261688665235852e+03,8.099382897024418071e+01
9.905261709994916600e+03,8.099439529797332682e+01
9.905261731324595530e+03,8.099496162286790479e+01
9.905261752654274460e+03,8.099552794497617469e+01
9.905261773983953390e+03,8.099609426429809389e+01
9.905261795313632319e+03,8.099666058083354869e+01
9.905261816643313068e+03,8.099722689463078495e+01
9.905261837972991998e+03,8.099779320559314044e+01
9.905261859302670928e+03,8.099835951376886101e+01
9.905261880632349857e+03,8.099892581915787559e+01
9.905261901962028787e+03,8.099949212176011315e+01
9.905261923291707717e+03,8.100005842157550262e+01
9.905261944621388466e+03,8.100062471865227565e+01
9.905261965951067396e+03,8.100119101289378420e+01
9.905261987280746325e+03,8.100175730434823151e+01
9.905262008610425255e+03,8.100232359301557494e+01
9.905262029940104185e+03,8.100288987889572923e+01
9.905262051269784934e+03,8.100345616203696864e+01
9.905262072599463863e+03,8.100402244234257410e+01
9.905262093929142793e+03,8.100458871986081988e+01
9.905262115258821723e+03,8.100515499459159230e+01
9.905262136588500653e+03,8.100572126653487715e+01
9.905262157918179582e+03,8.100628753569057494e+01
9.905262179247860331e+03,8.100685380210691733e+01
9.905262200577539261e+03,8.100742006568725628e+01
9.905262221907218191e+03,8.100798632647983766e+01
9.905262243236897120e+03,8.100855258448456198e+01
9.905262264566576050e+03,8.100911883970138661e+01
9.905262285896256799e+03,8.100968509217850055e+01
9.905262307225935729e+03,8.101025134181928422e+01
9.905262328555614658e+03,8.101081758867195504e+01
9.905262349885293588e+03,8.101138383273645616e+01
9.905262371214972518e+03,8.101195007401273074e+01
9.905262392544651448e+03,8.101251631250066509e+01
9.905262413874332196e+03,8.101308254824853350e+01
9.905262435204011126e+03,8.101364878115965951e+01
9.905262456533690056e+03,8.101421501128227476e+01
