Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
9.903857445627892957e+03,2.654893731352803599e+00
9.903857468524858632e+03,2.654893768228202333e+00
9.903857491421824307e+03,2.654893805102997106e+00
9.903857514318789981e+03,2.654893841977195024e+00
9.903857537215755656e+03,2.654893878850796085e+00
9.903857560112721330e+03,2.654893915723793185e+00
9.903857583009687005e+03,2.654893952596186324e+00
9.903857605906652680e+03,2.654893989467982607e+00
9.903857628803618354e+03,2.654894026339178481e+00
9.903857651700584029e+03,2.654894063209773947e+00
9.903857674597549703e+03,2.654894100079769004e+00
9.903857697494515378e+03,2.654894136949160099e+00
9.903857720391481053e+03,2.654894173817954339e+00
9.903857743288446727e+03,2.654894210686144618e+00
9.903857766185412402e+03,2.654894247553734488e+00
9.903857789082378076e+03,2.654894284420723949e+00
9.903857811979341932e+03,2.654894321287105896e+00
9.903857834876307606e+03,2.654894358152887435e+00
9.903857857773273281e+03,2.654894395018072117e+00
9.903857880670238956e+03,2.654894431882649286e+00
9.903857903567204630e+03,2.654894468746629599e+00
9.903857926464170305e+03,2.654894505610005950e+00
9.903857949361135979e+03,2.654894542472778340e+00
9.903857972258101654e+03,2.654894579334950322e+00
9.903857995155067329e+03,2.654894616196518342e+00
9.903858018052033003e+03,2.654894653057478848e+00
9.903858040948998678e+03,2.654894689917842499e+00
9.903858063845964352e+03,2.654894726777602187e+00
9.903858086742930027e+03,2.654894763636754362e+00
9.903858109639895702e+03,2.654894800495302576e+00
9.903858132536861376e+03,2.654894837353253934e+00
9.903858155433827051e+03,2.654894874210597777e+00
9.903858178330792725e+03,2.654894911067334107e+00
9.903858201227758400e+03,2.654894947923470028e+00
9.903858224124724074e+03,2.654894984779001987e+00
9.903858247021689749e+03,2.654895021633922880e+00
9.903858269918655424e+03,2.654895058488246917e+00
9.903858292815621098e+03,2.654895095341959887e+00
9.903858315712586773e+03,2.654895132195076002e+00
9.903858338609552447e+03,2.654895169047577497e+00
9.903858361506518122e+03,2.654895205899478583e+00
9.903858384403483797e+03,2.654895242750772155e+00
9.903858407300449471e+03,2.654895279601461766e+00
9.903858430197415146e+03,2.654895316451550968e+00
9.903858453094380820e+03,2.654895353301029104e+00
9.903858475991346495e+03,2.654895390149896173e+00
9.903858498888312170e+03,2.654895426998162833e+00
9.903858521785277844e+03,2.654895463845825532e+00
9.903858544682243519e+03,2.654895500692877164e+00
9.903858567579209193e+03,2.654895537539324835e+00
9.903858590476174868e+03,2.654895574385161439e+00
9.903858613373138724e+03,2.654895611230390529e+00
9.903858636270104398e+03,2.654895648075015657e+00
9.903858659167070073e+03,2.654895684919036825e+00
9.903858682064035747e+03,2.654895721762450478e+00
9.903858704961001422e+03,2.654895758605253064e+00
9.903858727857967096e+03,2.654895795447448137e+00
9.903858750754932771e+03,2.654895832289035695e+00
9.903858773651898446e+03,2.654895869130019292e+00
9.903858796548864120e+03,2.654895905970388270e+00
9.903858819445829795e+03,2.654895942810153286e+00
9.903858842342795469e+03,2.654895979649307236e+00
9.903858865239761144e+03,2.654896016487853672e+00
9.903858888136726819e+03,2.654896053325792593e+00
9.903858911033692493e+03,2.654896090163120448e+00
9.903858933930658168e+03,2.654896126999840789e+00
9.903858956827623842e+03,2.654896163835953615e+00
9.903858979724589517e+03,2.654896200671451822e+00
9.903859002621555192e+03,2.654896237506346068e+00
9.903859025518520866e+03,2.654896274340625695e+00
9.903859048415486541e+03,2.654896311174301360e+00
9.903859071312452215e+03,2.654896348007365958e+00
9.903859094209417890e+03,2.654896384839819490e+00
9.903859117106383565e+03,2.654896421671658402e+00
9.903859140003349239e+03,2.654896458502893353e+00
9.903859162900314914e+03,2.654896495333513684e+00
9.903859185797280588e+03,2.654896532163522949e+00
9.903859208694246263e+03,2.654896568992924699e+00
9.903859231591211937e+03,2.654896605821715383e+00
9.903859254488177612e+03,2.654896642649891447e+00
9.903859277385143287e+03,2.654896679477456445e+00
9.903859300282108961e+03,2.654896716304413928e+00
9.903859323179074636e+03,2.654896753130760345e+00
9.903859346076040310e+03,2.654896789956492142e+00
9.903859368973005985e+03,2.654896826781609320e+00
9.903859391869971660e+03,2.654896863606118984e+00
9.903859414766935515e+03,2.654896900430010476e+00
9.903859437663901190e+03,2.654896937253294453e+00
9.903859460560866864e+03,2.654896974075967364e+00
9.903859483457832539e+03,2.654897010898025655e+00
9.903859506354798214e+03,2.654897047719472880e+00
9.903859529251763888e+03,2.654897084540305485e+00
9.903859552148729563e+03,2.654897121360523471e+00
9.903859575045695237e+03,2.654897158180130390e+00
9.903859597942660912e+03,2.654897194999126242e+00
9.903859620839626587e+03,2.654897231817507475e+00
9.903859643736592261e+03,2.654897268635274088e+00
9.903859666633557936e+03,2.654897305452426082e+00
9.903859689530523610e+03,2.654897342268963456e+00
9.903859712427489285e+03,2.654897379084893316e+00
9.903859735324454959e+03,2.654897415900201452e+00
9.903859758221420634e+03,2.654897452714898520e+00
9.903859781118386309e+03,2.654897489528973864e+00
9.903859804015351983e+03,2.654897526342445246e+00
9.903859826912317658e+03,2.654897563155298457e+00
9.903859849809283332e+03,2.654897599967533495e+00
9.903859872706249007e+03,2.654897636779153913e+00
9.903859895603214682e+03,2.654897673590163265e+00
9.903859918500180356e+03,2.654897710400550892e+00
9.903859941397146031e+03,2.654897747210331005e+00
9.903859964294111705e+03,2.654897784019485840e+00
9.903859987191077380e+03,2.654897820828029609e+00
9.903860010088043055e+03,2.654897857635958758e+00
9.903860032985008729e+03,2.654897894443269735e+00
9.903860055881974404e+03,2.654897931249966092e+00
9.903860078778940078e+03,2.654897968056044277e+00
9.903860101675905753e+03,2.654898004861507843e+00
9.903860124572871428e+03,2.654898041666353237e+00
9.903860147469837102e+03,2.654898078470580458e+00
9.903860170366802777e+03,2.654898115274193060e+00
9.903860193263768451e+03,2.654898152077183937e+00
9.903860216160732307e+03,2.654898188879560195e+00
9.903860239057697981e+03,2.654898225681318280e+00
9.903860261954663656e+03,2.654898262482461746e+00
9.903860284851629331e+03,2.654898299282983487e+00
9.903860307748595005e+03,2.654898336082890609e+00
9.903860330645560680e+03,2.654898372882179558e+00
9.903860353542526354e+03,2.654898409680846783e+00
9.903860376439492029e+03,2.654898446478899388e+00
9.903860399336457704e+03,2.654898483276330268e+00
9.903860422233423378e+03,2.654898520073146528e+00
9.903860445130389053e+03,2.654898556869341064e+00
9.903860468027354727e+03,2.654898593664913875e+00
9.903860490924320402e+03,2.654898630459872066e+00
9.903860513821286077e+03,2.654898667254208533e+00
9.903860536718251751e+03,2.654898704047926827e+00
9.903860559615217426e+03,2.654898740841026950e+00
9.903860582512183100e+03,2.654898777633501794e+00
9.903860605409148775e+03,2.654898814425362019e+00
9.903860628306114450e+03,2.654898851216600519e+00
9.903860651203080124e+03,2.654898888007220847e+00
9.903860674100045799e+03,2.654898924797215898e+00
9.903860696997011473e+03,2.654898961586592776e+00
9.903860719893977148e+03,2.654898998375351482e+00
9.903860742790942822e+03,2.654899035163488463e+00
9.903860765687908497e+03,2.654899071951003720e+00
9.903860788584874172e+03,2.654899108737897251e+00
9.903860811481839846e+03,2.654899145524165505e+00
9.903860834378805521e+03,2.654899182309819139e+00
9.903860857275771195e+03,2.654899219094851048e+00
9.903860880172736870e+03,2.654899255879254127e+00
9.903860903069702545e+03,2.654899292663042587e+00
9.903860925966668219e+03,2.654899329446209322e+00
9.903860948863633894e+03,2.654899366228750779e+00
9.903860971760599568e+03,2.654899403010670511e+00
9.903860994657563424e+03,2.654899439791964966e+00
9.903861017554529099e+03,2.654899476572637695e+00
9.903861040451494773e+03,2.654899513352688700e+00
9.903861063348460448e+03,2.654899550132117980e+00
9.903861086245426122e+03,2.654899586910925535e+00
9.903861109142391797e+03,2.654899623689107813e+00
9.903861132039357472e+03,2.654899660466664812e+00
9.903861154936323146e+03,2.654899697243603640e+00
9.903861177833288821e+03,2.654899734019913637e+00
9.903861200730254495e+03,2.654899770795601910e+00
9.903861223627220170e+03,2.654899807570668457e+00
9.903861246524185844e+03,2.654899844345109727e+00
9.903861269421151519e+03,2.654899881118922167e+00
9.903861292318117194e+03,2.654899917892112882e+00
9.903861315215082868e+03,2.654899954664681871e+00
9.903861338112048543e+03,2.654899991436625584e+00
9.903861361009014217e+03,2.654900028207944018e+00
9.903861383905979892e+03,2.654900064978637175e+00
9.903861406802945567e+03,2.654900101748705055e+00
9.903861429699911241e+03,2.654900138518147656e+00
9.903861452596876916e+03,2.654900175286961428e+00
9.903861475493842590e+03,2.654900212055153474e+00
9.903861498390808265e+03,2.654900248822716691e+00
9.903861521287773940e+03,2.654900285589658182e+00
9.903861544184739614e+03,2.654900322355970843e+00
9.903861567081705289e+03,2.654900359121658227e+00
