Time (BJD_TBD - 2450000), F_c/F_star (ppm)
9.908278916757442857e+03,5.171606046635694298e+01
9.908278939979672941e+03,5.172597595451173191e+01
9.908278963201901206e+03,5.173589229845509863e+01
9.908278986424131290e+03,5.174580949970444976e+01
9.908279009646361374e+03,5.175572755744713049e+01
9.908279032868591457e+03,5.176564647164708077e+01
9.908279056090819722e+03,5.177556624149129760e+01
9.908279079313049806e+03,5.178548686849779159e+01
9.908279102535279890e+03,5.179540835185355974e+01
9.908279125757509973e+03,5.180533069152260595e+01
9.908279148979740057e+03,5.181525388746887018e+01
9.908279172201968322e+03,5.182517793887902258e+01
9.908279195424198406e+03,5.183510284727166351e+01
9.908279218646428490e+03,5.184502861183349154e+01
9.908279241868658573e+03,5.185495523252844663e+01
9.908279265090886838e+03,5.186488270854292182e+01
9.908279288313116922e+03,5.187481104139605037e+01
9.908279311535347006e+03,5.188474023027421111e+01
9.908279334757577089e+03,5.189467027514135822e+01
9.908279357979805354e+03,5.190460117518355077e+01
9.908279381202035438e+03,5.191453293192052598e+01
9.908279404424265522e+03,5.192446554453832874e+01
9.908279427646495606e+03,5.193439901300095585e+01
9.908279450868723870e+03,5.194433333649413242e+01
9.908279474090953954e+03,5.195426851653813571e+01
9.908279497313184038e+03,5.196420455231874769e+01
9.908279520535414122e+03,5.197414144379990120e+01
9.908279543757642386e+03,5.198407919016707979e+01
9.908279566979872470e+03,5.199401779294107939e+01
9.908279590202102554e+03,5.200395725130741909e+01
9.908279613424332638e+03,5.201389756522999619e+01
9.908279636646560903e+03,5.202383873389407398e+01
9.908279659868790986e+03,5.203378075882084630e+01
9.908279683091021070e+03,5.204372363919563327e+01
9.908279706313251154e+03,5.205366737498231089e+01
9.908279729535479419e+03,5.206361196536584401e+01
9.908279752757709502e+03,5.207355741186800202e+01
9.908279775979939586e+03,5.208350371367377107e+01
9.908279799202169670e+03,5.209345087074706271e+01
9.908279822424397935e+03,5.210339888227251492e+01
9.908279845646628019e+03,5.211334774977243711e+01
9.908279868868858102e+03,5.212329747243153122e+01
9.908279892091088186e+03,5.213324805021368036e+01
9.908279915313316451e+03,5.214319948230328805e+01
9.908279938535546535e+03,5.215315177022318949e+01
9.908279961757776618e+03,5.216310491315773135e+01
9.908279984980006702e+03,5.217305891107088200e+01
9.908280008202234967e+03,5.218301376314663997e+01
9.908280031424465051e+03,5.219296947090847993e+01
9.908280054646695135e+03,5.220292603354042171e+01
9.908280077868925218e+03,5.221288345100644790e+01
9.908280101091153483e+03,5.222284172249025147e+01
9.908280124313383567e+03,5.223280084951579028e+01
9.908280147535613651e+03,5.224276083126690651e+01
9.908280170757843734e+03,5.225272166770746907e+01
9.908280193980071999e+03,5.226268335802092224e+01
9.908280217202302083e+03,5.227264590373180653e+01
9.908280240424532167e+03,5.228260930402360174e+01
9.908280263646762251e+03,5.229257355886018388e+01
9.908280286868990515e+03,5.230253866742480540e+01
9.908280310091220599e+03,5.231250463124238337e+01
9.908280333313450683e+03,5.232247144949621287e+01
9.908280356535680767e+03,5.233243912215012728e+01
9.908280379757909031e+03,5.234240764838710902e+01
9.908280402980139115e+03,5.235237702973257257e+01
9.908280426202369199e+03,5.236234726536959272e+01
9.908280449424599283e+03,5.237231835526194601e+01
9.908280472646827548e+03,5.238229029859231645e+01
9.908280495869057631e+03,5.239226309688666561e+01
9.908280519091287715e+03,5.240223674932781250e+01
9.908280542313517799e+03,5.241221125587949814e+01
9.908280565535746064e+03,5.242218661572412941e+01
9.908280588757976147e+03,5.243216283038820791e+01
9.908280611980206231e+03,5.244213989905419737e+01
9.908280635202436315e+03,5.245211782168590986e+01
9.908280658424664580e+03,5.246209659746541831e+01
9.908280681646894664e+03,5.247207622791983539e+01
9.908280704869124747e+03,5.248205671223121982e+01
9.908280728091354831e+03,5.249203805036346893e+01
9.908280751313583096e+03,5.250202024149834301e+01
9.908280774535813180e+03,5.251200328716343790e+01
9.908280797758043263e+03,5.252198718654061338e+01
9.908280820980273347e+03,5.253197193959366729e+01
9.908280844202501612e+03,5.254195754550414676e+01
9.908280867424731696e+03,5.255194400580014502e+01
9.908280890646961780e+03,5.256193131966327314e+01
9.908280913869191863e+03,5.257191948705724371e+01
9.908280937091420128e+03,5.258190850716339071e+01
9.908280960313650212e+03,5.259189838151028340e+01
9.908280983535880296e+03,5.260188910927927708e+01
9.908281006758110379e+03,5.261188069043410565e+01
9.908281029980338644e+03,5.262187312415574780e+01
9.908281053202568728e+03,5.263186641197334126e+01
9.908281076424798812e+03,5.264186055306799972e+01
9.908281099647028896e+03,5.265185554740333629e+01
9.908281122869257160e+03,5.266185139416016625e+01
9.908281146091487244e+03,5.267184809486808916e+01
9.908281169313717328e+03,5.268184564870790609e+01
9.908281192535947412e+03,5.269184405564332252e+01
9.908281215758175676e+03,5.270184331485477003e+01
9.908281238980405760e+03,5.271184342787245924e+01
9.908281262202635844e+03,5.272184439387680044e+01
9.908281285424865928e+03,5.273184621283157725e+01
9.908281308647094193e+03,5.274184888391692283e+01
9.908281331869324276e+03,5.275185240866351677e+01
9.908281355091554360e+03,5.276185678625159881e+01
9.908281378313784444e+03,5.277186201664484599e+01
9.908281401536012709e+03,5.278186809902313570e+01
9.908281424758242792e+03,5.279187503491770173e+01
9.908281447980472876e+03,5.280188282350844275e+01
9.908281471202702960e+03,5.281189146475912111e+01
9.908281494424931225e+03,5.282190095784918071e+01
9.908281517647161309e+03,5.283191130431053750e+01
9.908281540869391392e+03,5.284192250332274199e+01
9.908281564091621476e+03,5.285193455484947833e+01
9.908281587313849741e+03,5.286194745807004836e+01
9.908281610536079825e+03,5.287196121451677300e+01
9.908281633758309908e+03,5.288197582336901093e+01
9.908281656980539992e+03,5.289199128459034682e+01
9.908281680202768257e+03,5.290200759735986935e+01
9.908281703424998341e+03,5.291202476321040393e+01
9.908281726647228425e+03,5.292204278132098949e+01
9.908281749869458508e+03,5.293206165165528176e+01
9.908281773091686773e+03,5.294208137339204256e+01
9.908281796313916857e+03,5.295210194806460891e+01
9.908281819536146941e+03,5.296212337485173549e+01
9.908281842758377024e+03,5.297214565371710648e+01
9.908281865980605289e+03,5.298216878383916395e+01
9.908281889202835373e+03,5.299219276675175649e+01
9.908281912425065457e+03,5.300221760163341855e+01
9.908281935647295541e+03,5.301224328844777034e+01
9.908281958869523805e+03,5.302226982637299812e+01
9.908281982091753889e+03,5.303229721694345500e+01
9.908282005313983973e+03,5.304232545933743381e+01
9.908282028536214057e+03,5.305235455351847662e+01
9.908282051758442321e+03,5.306238449866454943e+01
9.908282074980672405e+03,5.307241529631052401e+01
9.908282098202902489e+03,5.308244694563435928e+01
9.908282121425132573e+03,5.309247944659967544e+01
9.908282144647360838e+03,5.310251279838404770e+01
9.908282167869590921e+03,5.311254700252295891e+01
9.908282191091821005e+03,5.312258205819404822e+01
9.908282214314051089e+03,5.313261796536090031e+01
9.908282237536279354e+03,5.314265472320090566e+01
9.908282260758509437e+03,5.315269233324998055e+01
9.908282283980739521e+03,5.316273079468552254e+01
9.908282307202969605e+03,5.317277010747108079e+01
9.908282330425197870e+03,5.318281027078374734e+01
9.908282353647427954e+03,5.319285128616000691e+01
9.908282376869658037e+03,5.320289315277697284e+01
9.908282400091888121e+03,5.321293587059817298e+01
9.908282423314116386e+03,5.322297943880042226e+01
9.908282446536346470e+03,5.323302385892070276e+01
9.908282469758576553e+03,5.324306913013587916e+01
9.908282492980806637e+03,5.325311525240945087e+01
9.908282516203034902e+03,5.326316222491796992e+01
9.908282539425264986e+03,5.327321004919892289e+01
9.908282562647495070e+03,5.328325872442887601e+01
9.908282585869725153e+03,5.329330825057137844e+01
9.908282609091953418e+03,5.330335862680262693e+01
9.908282632314183502e+03,5.331340985466069071e+01
9.908282655536413586e+03,5.332346193332184470e+01
9.908282678758643669e+03,5.333351486274958120e+01
9.908282701980871934e+03,5.334356864211989802e+01
