Time (BJD_TBD - 2450000), F_planets/F_star (ppm)
1.027316970012645470e+04,6.422045495942076059e+02
1.027316978640591515e+04,6.420756739675443896e+02
1.027316987268537559e+04,6.419468510057708954e+02
1.027316995896483786e+04,6.418180807170125490e+02
1.027317004524429831e+04,6.416893631175321389e+02
1.027317013152376057e+04,6.415606982127285391e+02
1.027317021780322102e+04,6.414320860188463485e+02
1.027317030408268329e+04,6.413035265412760282e+02
1.027317039036214373e+04,6.411750197962442144e+02
1.027317047664160600e+04,6.410465657891319324e+02
1.027317056292106645e+04,6.409181645361485380e+02
1.027317064920052871e+04,6.407898160426660752e+02
1.027317073547998916e+04,6.406615203248760508e+02
1.027317082175945143e+04,6.405332773881413004e+02
1.027317090803891188e+04,6.404050872486357093e+02
1.027317099431837232e+04,6.402769499144143310e+02
1.027317108059783459e+04,6.401488653935301727e+02
1.027317116687729504e+04,6.400208337021298348e+02
1.027317125315675730e+04,6.398928548455546661e+02
1.027317133943621775e+04,6.397649288399329635e+02
1.027317142571568002e+04,6.396370556905970943e+02
1.027317151199514046e+04,6.395092354136579615e+02
1.027317159827460273e+04,6.393814680144383829e+02
1.027317168455406318e+04,6.392537535090319807e+02
1.027317177083352544e+04,6.391260919027524778e+02
1.027317185711298589e+04,6.389984832116757616e+02
1.027317194339244634e+04,6.388709274437948125e+02
1.027317202967190860e+04,6.387434246071015878e+02
1.027317211595136905e+04,6.386159747176449173e+02
1.027317220223083132e+04,6.384885777807157865e+02
1.027317228851029176e+04,6.383612338123455174e+02
1.027317237478975403e+04,6.382339428178162279e+02
1.027317246106921448e+04,6.381067048131411639e+02
1.027317254734867674e+04,6.379795198035940302e+02
1.027317263362813719e+04,6.378523878051695419e+02
1.027317271990759946e+04,6.377253088231327638e+02
1.027317280618705990e+04,6.375982828734604482e+02
1.027317289246652035e+04,6.374713099640848668e+02
1.027317297874598262e+04,6.373443901029363587e+02
1.027317306502544307e+04,6.372175233059642778e+02
1.027317315130490533e+04,6.370907095784119747e+02
1.027317323758436578e+04,6.369639489362109543e+02
1.027317332386382805e+04,6.368372413845952451e+02
1.027317341014328849e+04,6.367105869394785032e+02
1.027317349642275076e+04,6.365839856060854345e+02
1.027317358270221121e+04,6.364574374003128696e+02
1.027317366898167347e+04,6.363309423273759649e+02
1.027317375526113392e+04,6.362045004031527924e+02
1.027317384154059619e+04,6.360781116328504368e+02
1.027317392782005663e+04,6.359517760323293487e+02
1.027317401409951708e+04,6.358254936094485856e+02
1.027317410037897935e+04,6.356992643720656133e+02
1.027317418665843979e+04,6.355730883360137113e+02
1.027317427293790206e+04,6.354469655064773406e+02
1.027317435921736251e+04,6.353208958992715907e+02
1.027317444549682477e+04,6.351948795195721686e+02
1.027317453177628522e+04,6.350689163831763153e+02
1.027317461805574749e+04,6.349430064952504154e+02
1.027317470433520793e+04,6.348171498715737471e+02
1.027317479061467020e+04,6.346913465173040549e+02
1.027317487689413065e+04,6.345655964482025411e+02
1.027317496317359110e+04,6.344398996720672130e+02
1.027317504945305336e+04,6.343142561966932362e+02
1.027317513573251381e+04,6.341886660378153238e+02
1.027317522201197608e+04,6.340631292005683690e+02
1.027317530829143652e+04,6.339376457006690089e+02
1.027317539457089879e+04,6.338122155432427007e+02
1.027317548085035924e+04,6.336868387439885737e+02
1.027317556712982150e+04,6.335615153080228765e+02
1.027317565340928195e+04,6.334362452510268895e+02
1.027317573968874422e+04,6.333110285781078801e+02
1.027317582596820466e+04,6.331858653049287113e+02
1.027317591224766693e+04,6.330607554365882379e+02
1.027317599852712738e+04,6.329356989887309055e+02
1.027317608480658782e+04,6.328106959690812801e+02
1.027317617108605009e+04,6.326857463853621084e+02
1.027317625736551054e+04,6.325608502531902104e+02
1.027317634364497280e+04,6.324360075776426129e+02
1.027317642992443325e+04,6.323112183743184005e+02
1.027317651620389552e+04,6.321864826482850503e+02
1.027317660248335596e+04,6.320618004151237983e+02
1.027317668876281823e+04,6.319371716798935950e+02
1.027317677504227868e+04,6.318125964581570315e+02
1.027317686132174094e+04,6.316880747549639636e+02
1.027317694760120139e+04,6.315636065858594748e+02
1.027317703388066184e+04,6.314391919585067399e+02
1.027317712016012410e+04,6.313148308805651823e+02
1.027317720643958455e+04,6.311905233675540785e+02
1.027317729271904682e+04,6.310662694244994100e+02
1.027317737899850727e+04,6.309420690669019223e+02
1.027317746527796953e+04,6.308179222997789566e+02
1.027317755155742998e+04,6.306938291386130686e+02
1.027317763783689225e+04,6.305697895884126183e+02
1.027317772411635269e+04,6.304458036646418577e+02
1.027317781039581496e+04,6.303218713723003930e+02
1.027317789667527541e+04,6.301979927268343999e+02
1.027317798295473585e+04,6.300741677358445259e+02
1.027317806923419812e+04,6.299503964069285757e+02
1.027317815551365857e+04,6.298266787555057817e+02
