Time (BJD_TBD - 2450000), F_b/F_star (ppm)
9.882509466950135902e+03,7.295810473774250795e+02
9.882509484965825322e+03,7.296041238255643293e+02
9.882509502981516562e+03,7.296271985932928601e+02
9.882509520997205982e+03,7.296502716758218412e+02
9.882509539012897221e+03,7.296733430776806699e+02
9.882509557028588461e+03,7.296964127964104136e+02
9.882509575044277881e+03,7.297194808295523671e+02
9.882509593059969120e+03,7.297425471816353593e+02
9.882509611075658540e+03,7.297656118478722647e+02
9.882509629091349780e+03,7.297886748327906616e+02
9.882509647107039200e+03,7.298117361316042206e+02
9.882509665122730439e+03,7.298347957488402926e+02
9.882509683138421678e+03,7.298578536820409681e+02
9.882509701154111099e+03,7.298809099287491335e+02
9.882509719169802338e+03,7.299039644934908893e+02
9.882509737185491758e+03,7.299270173714812699e+02
9.882509755201182998e+03,7.299500685672466034e+02
9.882509773216872418e+03,7.299731180760021516e+02
9.882509791232563657e+03,7.299961659022731055e+02
9.882509809248254896e+03,7.300192120436030336e+02
9.882509827263944317e+03,7.300422564975358455e+02
9.882509845279635556e+03,7.300652992685952540e+02
9.882509863295324976e+03,7.300883403519991361e+02
9.882509881311016215e+03,7.301113797522710911e+02
9.882509899326705636e+03,7.301344174646291094e+02
9.882509917342396875e+03,7.301574534935959946e+02
9.882509935358088114e+03,7.301804878367165657e+02
9.882509953373777535e+03,7.302035204915356417e+02
9.882509971389468774e+03,7.302265514625753440e+02
9.882509989405158194e+03,7.302495807450554821e+02
9.882510007420849433e+03,7.302726083434972679e+02
9.882510025436538854e+03,7.302956342531215341e+02
9.882510043452230093e+03,7.303186584784485831e+02
9.882510061467921332e+03,7.303416810170240296e+02
9.882510079483610753e+03,7.303647018663948529e+02
9.882510097499301992e+03,7.303877210310803321e+02
9.882510115514991412e+03,7.304107385063026641e+02
9.882510133530682651e+03,7.304337542965810144e+02
9.882510151546372072e+03,7.304567683971383758e+02
9.882510169562063311e+03,7.304797808124927769e+02
9.882510187577754550e+03,7.305027915401915379e+02
9.882510205593443970e+03,7.305258005777822063e+02
9.882510223609135210e+03,7.305488079297821287e+02
9.882510241624824630e+03,7.305718135914162303e+02
9.882510259640515869e+03,7.305948175672006073e+02
9.882510277656205290e+03,7.306178198523613219e+02
9.882510295671896529e+03,7.306408204514140152e+02
9.882510313687587768e+03,7.306638193619069170e+02
9.882510331703277188e+03,7.306868165813891665e+02
9.882510349718968428e+03,7.307098121143757226e+02
9.882510367734657848e+03,7.307328059560936708e+02
9.882510385750349087e+03,7.307557981110574019e+02
9.882510403766038507e+03,7.307787885744949108e+02
9.882510421781729747e+03,7.308017773509196786e+02
9.882510439797420986e+03,7.308247644378810719e+02
9.882510457813110406e+03,7.308477498329299351e+02
9.882510475828801646e+03,7.308707335405783851e+02
9.882510493844491066e+03,7.308937155560560086e+02
9.882510511860182305e+03,7.309166958838753771e+02
9.882510529875871725e+03,7.309396745192661911e+02
9.882510547891562965e+03,7.309626514667402262e+02
9.882510565907254204e+03,7.309856267238480996e+02
9.882510583922943624e+03,7.310086002881413378e+02
9.882510601938634863e+03,7.310315721641301252e+02
9.882510619954324284e+03,7.310545423470468904e+02
9.882510637970015523e+03,7.310775108414010219e+02
9.882510655985704943e+03,7.311004776424252896e+02
9.882510674001396183e+03,7.311234427546290817e+02
9.882510692017087422e+03,7.311464061755641524e+02
9.882510710032776842e+03,7.311693679027831649e+02
9.882510728048468081e+03,7.311923279407944847e+02
9.882510746064157502e+03,7.312152862848322457e+02
9.882510764079848741e+03,7.312382429394040173e+02
9.882510782095538161e+03,7.312611978997451843e+02
9.882510800111229400e+03,7.312841511703622928e+02
9.882510818126920640e+03,7.313071027488085747e+02
9.882510836142610060e+03,7.313300526326381714e+02
9.882510854158301299e+03,7.313530008263568334e+02
9.882510872173990720e+03,7.313759473252013095e+02
9.882510890189681959e+03,7.313988921336767817e+02
9.882510908205371379e+03,7.314218352470213631e+02
9.882510926221062618e+03,7.314447766697386442e+02
9.882510944236753858e+03,7.314677163993836757e+02
9.882510962252443278e+03,7.314906544335117360e+02
9.882510980268134517e+03,7.315135907766259606e+02
9.882510998283823938e+03,7.315365254239660544e+02
9.882511016299515177e+03,7.315594583800346982e+02
9.882511034315204597e+03,7.315823896400718240e+02
9.882511052330895836e+03,7.316053192085796582e+02
9.882511070346587076e+03,7.316282470831141609e+02
9.882511088362276496e+03,7.316511732612317473e+02
9.882511106377967735e+03,7.316740977474332794e+02
9.882511124393657155e+03,7.316970205369609630e+02
9.882511142409348395e+03,7.317199416343150915e+02
9.882511160425037815e+03,7.317428610347379845e+02
9.882511178440729054e+03,7.317657787427299354e+02
9.882511196456420294e+03,7.317886947558475867e+02
9.882511214472109714e+03,7.318116090716489452e+02
9.882511232487800953e+03,7.318345216946328264e+02
9.882511250503490373e+03,7.318574326200434825e+02
9.882511268519181613e+03,7.318803418523787059e+02
9.882511286534871033e+03,7.319032493868841129e+02
9.882511304550562272e+03,7.319261552280565866e+02
9.882511322566253511e+03,7.319490593734548156e+02
9.882511340581942932e+03,7.319719618206378300e+02
9.882511358597634171e+03,7.319948625741019441e+02
9.882511376613323591e+03,7.320177616290939113e+02
9.882511394629014831e+03,7.320406589901097050e+02
9.882511412644704251e+03,7.320635546523967605e+02
9.882511430660395490e+03,7.320864486204499144e+02
9.882511448676086729e+03,7.321093408918289924e+02
9.882511466691776150e+03,7.321322314640945024e+02
9.882511484707467389e+03,7.321551203417402576e+02
9.882511502723156809e+03,7.321780075200156261e+02
9.882511520738848048e+03,7.322008930034140803e+02
9.882511538754537469e+03,7.322237767871855567e+02
9.882511556770228708e+03,7.322466588758227317e+02
9.882511574785919947e+03,7.322695392668866816e+02
9.882511592801609368e+03,7.322924179579388237e+02
9.882511610817300607e+03,7.323152949534706977e+02
9.882511628832990027e+03,7.323381702487347411e+02
9.882511646848681266e+03,7.323610438482213567e+02
9.882511664864370687e+03,7.323839157471834369e+02
9.882511682880061926e+03,7.324067859501111570e+02
9.882511700895753165e+03,7.324296544545665029e+02
9.882511718911442586e+03,7.324525212581128244e+02
9.882511736927133825e+03,7.324753863652391601e+02
9.882511754942823245e+03,7.324982497711997667e+02
9.882511772958514484e+03,7.325211114804835688e+02
9.882511790974203905e+03,7.325439714883455053e+02
9.882511808989895144e+03,7.325668297992733642e+02
9.882511827005586383e+03,7.325896864108308364e+02
9.882511845021275803e+03,7.326125413205819541e+02
9.882511863036967043e+03,7.326353945330137094e+02
9.882511881052656463e+03,7.326582460433829738e+02
9.882511899068347702e+03,7.326810958561759435e+02
9.882511917084037123e+03,7.327039439666501721e+02
9.882511935099728362e+03,7.327267903792914012e+02
9.882511953115419601e+03,7.327496350916643451e+02
9.882511971131109021e+03,7.327724781013341726e+02
9.882511989146800261e+03,7.327953194127858296e+02
9.882512007162489681e+03,7.328181590212785750e+02
9.882512025178180920e+03,7.328409969312962176e+02
9.882512043193870340e+03,7.328638331380988120e+02
9.882512061209561580e+03,7.328866676461698262e+02
9.882512079225252819e+03,7.329095004530747701e+02
9.882512097240942239e+03,7.329323315563808592e+02
9.882512115256633479e+03,7.329551609605701969e+02
9.882512133272322899e+03,7.329779886609046571e+02
9.882512151288014138e+03,7.330008146618654337e+02
9.882512169303703558e+03,7.330236389587156509e+02
9.882512187319394798e+03,7.330464615559357071e+02
9.882512205335084218e+03,7.330692824487890675e+02
9.882512223350775457e+03,7.330921016417560168e+02
9.882512241366466696e+03,7.331149191324037702e+02
9.882512259382156117e+03,7.331377349183013621e+02
9.882512277397847356e+03,7.331605490039275992e+02
9.882512295413536776e+03,7.331833613845474247e+02
9.882512313429228016e+03,7.332061720646396452e+02
9.882512331444917436e+03,7.332289810394698861e+02
9.882512349460608675e+03,7.332517883135159309e+02
9.882512367476299914e+03,7.332745938843469276e+02
9.882512385491989335e+03,7.332973977495322515e+02
9.882512403507680574e+03,7.333201999135488904e+02
9.882512421523369994e+03,7.333430003716644023e+02
9.882512439539061234e+03,7.333657991283549791e+02
9.882512457554750654e+03,7.333885961788885197e+02
9.882512475570441893e+03,7.334113915277409887e+02
9.882512493586133132e+03,7.334341851724825574e+02
9.882512511601822553e+03,7.334569771106837379e+02
9.882512529617513792e+03,7.334797673468194716e+02
9.882512547633203212e+03,7.335025558761593629e+02
9.882512565648894451e+03,7.335253427031775573e+02
9.882512583664583872e+03,7.335481278231447959e+02
9.882512601680275111e+03,7.335709112405339738e+02
9.882512619695966350e+03,7.335936929529166264e+02
9.882512637711655771e+03,7.336164729578650849e+02
9.882512655727347010e+03,7.336392512598516760e+02
9.882512673743036430e+03,7.336620278541482776e+02
9.882512691758727669e+03,7.336848027452271026e+02
9.882512709774417090e+03,7.337075759283608249e+02
9.882512727790108329e+03,7.337303474080202932e+02
9.882512745805799568e+03,7.337531171817787481e+02
9.882512763821488988e+03,7.337758852472089757e+02
9.882512781837180228e+03,7.337986516087811424e+02
9.882512799852869648e+03,7.338214162617704233e+02
9.882512817868560887e+03,7.338441792106455068e+02
9.882512835884250308e+03,7.338669404506823639e+02
9.882512853899941547e+03,7.338896999863493420e+02
9.882512871915632786e+03,7.339124578152203640e+02
9.882512889931322206e+03,7.339352139348703759e+02
9.882512907947013446e+03,7.339579683497669294e+02
9.882512925962702866e+03,7.339807210551871322e+02
9.882512943978394105e+03,7.340034720555979675e+02
