Time (BJD_TBD - 2450000), F_d/F_star (ppm)
1.014846780447709716e+04,8.131610676038450447e-02
1.014846782535186867e+04,8.144315390299450286e-02
1.014846784622664200e+04,8.157030018480801448e-02
1.014846786710141532e+04,8.169754559465169930e-02
1.014846788797618683e+04,8.182489012126821504e-02
1.014846790885096016e+04,8.195233378672069080e-02
1.014846792972573166e+04,8.207987656868348525e-02
1.014846795060050499e+04,8.220751848923020522e-02
1.014846797147527832e+04,8.233525953712451939e-02
1.014846799235004983e+04,8.246309970108808840e-02
1.014846801322482315e+04,8.259103900326804359e-02
1.014846803409959648e+04,8.271907743238604560e-02
1.014846805497436799e+04,8.284721497715324956e-02
1.014846807584914131e+04,8.297545165975879489e-02
1.014846809672391464e+04,8.310378746890334511e-02
1.014846811759868615e+04,8.323222239325604732e-02
1.014846813847345948e+04,8.336075645506903220e-02
1.014846815934823098e+04,8.348938963180664585e-02
1.014846818022300431e+04,8.361812194576304091e-02
1.014846820109777764e+04,8.374695338557583413e-02
1.014846822197254914e+04,8.387588393988271163e-02
1.014846824284732247e+04,8.400491363101979247e-02
1.014846826372209580e+04,8.413404244762476281e-02
1.014846828459686731e+04,8.426327037828273969e-02
1.014846830547164063e+04,8.439259744539288899e-02
1.014846832634641396e+04,8.452202363755086101e-02
1.014846834722118547e+04,8.465154894335230606e-02
1.014846836809595879e+04,8.478117338520688162e-02
1.014846838897073030e+04,8.491089694040036828e-02
1.014846840984550363e+04,8.504071963141597579e-02
1.014846843072027696e+04,8.517064144679682702e-02
1.014846845159504846e+04,8.530066237509653648e-02
1.014846847246982179e+04,8.543078243880881939e-02
1.014846849334459512e+04,8.556100162649779572e-02
1.014846851421936663e+04,8.569131992665408870e-02
1.014846853509413995e+04,8.582173736185538804e-02
1.014846855596891328e+04,8.595225392061334180e-02
1.014846857684368479e+04,8.608286959139756223e-02
1.014846859771845811e+04,8.621358439684874420e-02
1.014846861859322962e+04,8.634439831404266963e-02
1.014846863946800295e+04,8.647531136564103049e-02
1.014846866034277627e+04,8.660632354011345291e-02
1.014846868121754778e+04,8.673743482587706333e-02
1.014846870209232111e+04,8.686864524566706436e-02
1.014846872296709444e+04,8.699995478791107406e-02
1.014846874384186594e+04,8.713136344102621889e-02
1.014846876471663927e+04,8.726287122776871241e-02
1.014846878559141260e+04,8.739447813654516173e-02
1.014846880646618411e+04,8.752618415576218780e-02
1.014846882734095743e+04,8.765798930821801227e-02
1.014846884821572894e+04,8.778989357079938771e-02
1.014846886909050227e+04,8.792189696636752705e-02
1.014846888996527559e+04,8.805399948328705706e-02
1.014846891084004710e+04,8.818620110989107419e-02
1.014846893171482043e+04,8.831850186909330491e-02
1.014846895258959375e+04,8.845090174923737891e-02
1.014846897346436526e+04,8.858340073862487618e-02
1.014846899433913859e+04,8.871599886021155901e-02
1.014846901521391192e+04,8.884869610232003223e-02
1.014846903608868342e+04,8.898149245324138423e-02
1.014846905696345675e+04,8.911438793596285213e-02
1.014846907783822826e+04,8.924738252719269238e-02
1.014846909871300159e+04,8.938047624998111951e-02
1.014846911958777491e+04,8.951366909258774707e-02
1.014846914046254642e+04,8.964696104325116377e-02
1.014846916133731975e+04,8.978035212508464480e-02
1.014846918221209307e+04,8.991384232631627338e-02
1.014846920308686458e+04,9.004743163516364113e-02
1.014846922396163791e+04,9.018112007477151193e-02
1.014846924483640942e+04,9.031490762170109321e-02
1.014846926571118274e+04,9.044879429912865143e-02
1.014846928658595607e+04,9.058278009526127272e-02
1.014846930746072758e+04,9.071686499826404904e-02
1.014846932833550090e+04,9.085104903137625199e-02
1.014846934921027423e+04,9.098533218276297352e-02
1.014846937008504574e+04,9.111971444056829461e-02
1.014846939095981907e+04,9.125419582809449204e-02
1.014846941183459239e+04,9.138877633346464968e-02
1.014846943270936390e+04,9.152345594482286240e-02
1.014846945358413723e+04,9.165823468548191244e-02
1.014846947445890873e+04,9.179311253182446950e-02
1.014846949533368206e+04,9.192808950720532390e-02
1.014846951620845539e+04,9.206316559973706792e-02
1.014846953708322690e+04,9.219834079749027189e-02
1.014846955795800022e+04,9.233361512389322290e-02
1.014846957883277355e+04,9.246898856701649128e-02
1.014846959970754506e+04,9.260446111492018351e-02
1.014846962058231838e+04,9.274003279106407538e-02
1.014846964145709171e+04,9.287570358350824562e-02
1.014846966233186322e+04,9.301147348027077877e-02
1.014846968320663655e+04,9.314734250488494738e-02
1.014846970408140805e+04,9.328331063351294472e-02
1.014846972495618138e+04,9.341937788970906820e-02
1.014846974583095471e+04,9.355554426150188008e-02
1.014846976670572622e+04,9.369180973685696523e-02
1.014846978758049954e+04,9.382817433938112073e-02
1.014846980845527287e+04,9.396463805706091466e-02
1.014846982933004438e+04,9.410120087786193188e-02
1.014846985020481770e+04,9.423786282542245818e-02
1.014846987107959103e+04,9.437462388771858390e-02
1.014846989195436254e+04,9.451148405266338037e-02
1.014846991282913586e+04,9.464844334396863013e-02
1.014846993370390737e+04,9.478550173762852193e-02
1.014846995457868070e+04,9.492265925738634091e-02
1.014846997545345403e+04,9.505991589114468066e-02
1.014846999632822553e+04,9.519727162680607924e-02
1.014847001720299886e+04,9.533472648814537986e-02
1.014847003807777219e+04,9.547228046306513449e-02
